file,prediction,ai_probability,prediction_name,ai_probability_percent
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/004 - Movie Studio Intros Escaped from TV_033.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/041 - Vintage Movie Studio Logos： The Making-Of_029.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/285 - Collabs Movie Studios & Streaming Platforms🥣 Made Cereals_034.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/041 - Vintage Movie Studio Logos： The Making-Of_030.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/050 - Apocalypse of the Movie Studios_024.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/053 - Movie Studios Commercial Jingles 90s_038.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/048 - Movie Studios in the Neanderthal Era_038.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/175 - Throwing Cheese at Historical Figures (A.I. Video)_020.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/175 - Throwing Cheese at Historical Figures (A.I. Video)_021.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/047 - Animation Studios Come to Life in Theaters_030.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_252.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_251.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/086 - ALL Studios Commercial Jingles： Behind the scenes_063.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/209 - When Dinosaurs Invade Movie Studios!_036.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/265 - Netflix Taking Over All Movie Studios_039.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/245 - What If Movie Studios Had Their Own Airlines？_041.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/036 - How NOT to Recreate Movie Studio Intros_044.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/116 - Sora 2 S1E5_079.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/277 - Original Cereals for Streaming Platforms_035.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/020 - A fully AI generated BFDI episode (Sora 2)_000.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/004 - Movie Studio Intros Escaped from TV_000.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/neuro/old_neuro_000.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/173 - BEST SORA 2 AI MEMES EPISODE 10_101.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/169 - AI Has FINALLY LOST CONTROL 💀 (Sora 2 Moments Gone Way Too Far)_058.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/197 - Movie Studios Take Over Parade!_033.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/201 - Disney vs Movie Studios Battle_036.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/264 - When Animated TV Channels Invade Theaters_038.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/279 - THX vs Animation Studios - The Loudest Crossover Ever!_035.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/067 - How will we know whats real？ Sora 2._032.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/067 - How will we know whats real？ Sora 2._034.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/237 - 🍦When Animated TV Channels Make Ice Cream📺_036.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/233 - Animation TV channels Escaped from TV_037.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/016 - Movie Studio Intros： Reimagined as Trailers_013.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/016 - Movie Studio Intros： Reimagined as Trailers_014.wav,1,1.0,AI,100.0
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_001.wav,1,0.9999998807907104,AI,99.99998807907104
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/048 - Movie Studios in the Neanderthal Era_017.wav,1,0.9999998807907104,AI,99.99998807907104
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/042 - Movie Studio Phone Ads_039.wav,1,0.9999998807907104,AI,99.99998807907104
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/046 - What If Movie Studios Made Cars？_033.wav,1,0.9999997615814209,AI,99.99997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/264 - When Animated TV Channels Invade Theaters_019.wav,1,0.9999997615814209,AI,99.99997615814209
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/292 - McDonald’s 🍟Happy Meal by Animation Studios_032.wav,1,0.9999996423721313,AI,99.99996423721313
"/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/081 - Sora 2 - Family Guy, South Park, Rick & Morty, SpongeBob, and more! ｜ AI Cartoon Compilation #2_127.wav",1,0.9999995231628418,AI,99.99995231628418
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/021 - Sora 2 Made Famous Characters Run From The Police 🚨😂_028.wav,1,0.9999994039535522,AI,99.99994039535522
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/090 - Sora 2 S1E3_058.wav,1,0.9999994039535522,AI,99.99994039535522
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/050 - Apocalypse of the Movie Studios_020.wav,1,0.9999994039535522,AI,99.99994039535522
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/165 - TriStar vs. Movie Studios_001.wav,1,0.9999992847442627,AI,99.99992847442627
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/129 - Nickelodeon x CN x PBS Kids Mashup - AI Bumpers_042.wav,1,0.9999992847442627,AI,99.99992847442627
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/197 - Movie Studios Take Over Parade!_009.wav,1,0.9999992847442627,AI,99.99992847442627
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/089 - Movie Studios in Zombiewood (Halloween edition)_009.wav,1,0.9999991655349731,AI,99.99991655349731
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_166.wav,1,0.9999991655349731,AI,99.99991655349731
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/004 - Movie Studio Intros Escaped from TV_005.wav,1,0.9999990463256836,AI,99.99990463256836
/home/jack/Videos/snip_4sec/ai_slop_i_glad_i_never_watched/025 - He needs someone to save him 😭_280.wav,1,0.999998927116394,AI,99.9998927116394
