file,label,source,speaker,generator,language,group
audio/human/LJSpeech/LJ036-0171.wav,0,LJSpeech,LJ,,en,LJSpeech::lj036-0171
audio/human/LJSpeech/LJ012-0263.wav,0,LJSpeech,LJ,,en,LJSpeech::lj012-0263
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/031 - Top 62 Sora 2 Clips That Will Blow Your Mind_133.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::031 - Top 62 Sora 2 Clips That Will Blow Your Mind
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids_070.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids_128.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::236 - Sora 2 Lost Episode In 10 Minutes Not Made For Kids
audio/human/LJSpeech/LJ013-0202.wav,0,LJSpeech,LJ,,en,LJSpeech::lj013-0202
audio/human/LJSpeech/LJ033-0046.wav,0,LJSpeech,LJ,,en,LJSpeech::lj033-0046
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_042.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::269 - UNHINGED CAILLOU Sora Compilation 2
audio/human/CREMA-D/1013_TIE_FEA_XX.wav,0,CREMA-D,1013,,en,CREMA-D::actor::1013
audio/human/beastboy/Very Big New Setup Update_016.wav,0,unknown,,,unknown,unknown::human::very big new setup update_016
audio/human/LJSpeech/LJ015-0140.wav,0,LJSpeech,LJ,,en,LJSpeech::lj015-0140
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/035 - Spongebob Ai part 1 and two (The Secret Sauce)_041.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::035 - Spongebob Ai part 1 and two (The Secret Sauce)
audio/human/CREMA-D/1068_TAI_HAP_XX.wav,0,CREMA-D,1068,,en,CREMA-D::actor::1068
"audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/069 - Sora 2 - Family Guy, South Park, Spongebob, Donald Trump, and more! ｜ Al Cartoon Compilation #4_043.wav",1,YouTube-AI,,unknown,unknown,"YouTube-AI::069 - Sora 2 - Family Guy, South Park, Spongebob, Donald Trump, and more! ｜ Al Cartoon Compilation #4"
"audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/081 - Sora 2 - Family Guy, South Park, Rick & Morty, SpongeBob, and more! ｜ AI Cartoon Compilation #2_065.wav",1,YouTube-AI,,unknown,unknown,"YouTube-AI::081 - Sora 2 - Family Guy, South Park, Rick & Morty, SpongeBob, and more! ｜ AI Cartoon Compilation #2"
audio/human/CREMA-D/1036_TAI_DIS_XX.wav,0,CREMA-D,1036,,en,CREMA-D::actor::1036
audio/human/LJSpeech/LJ042-0119.wav,0,LJSpeech,LJ,,en,LJSpeech::lj042-0119
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/116 - Sora 2 S1E5_014.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::116 - Sora 2 S1E5
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1_074.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::087 - Sora 2 - Family Guy and South Park ｜ AI Cartoon Compilation #1
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/196 - Lost Episodes Analog Horror Sora 2 (Full Movie)_053.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::196 - Lost Episodes Analog Horror Sora 2 (Full Movie)
audio/human/CREMA-D/1038_ITS_DIS_XX.wav,0,CREMA-D,1038,,en,CREMA-D::actor::1038
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/105 - sora 2 stuff_182.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::105 - sora 2 stuff
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/030 - BEST SORA 2 AI MEMES EPISODE 5_155.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::030 - BEST SORA 2 AI MEMES EPISODE 5
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/135 - Unhinged Gumball AI Moments_057.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::135 - Unhinged Gumball AI Moments
audio/human/CREMA-D/1087_TSI_ANG_XX.wav,0,CREMA-D,1087,,en,CREMA-D::actor::1087
audio/human/LJSpeech/LJ050-0011.wav,0,LJSpeech,LJ,,en,LJSpeech::lj050-0011
audio/human/LJSpeech/LJ022-0086.wav,0,LJSpeech,LJ,,en,LJSpeech::lj022-0086
audio/human/LJSpeech/LJ035-0022.wav,0,LJSpeech,LJ,,en,LJSpeech::lj035-0022
audio/human/LJSpeech/LJ033-0006.wav,0,LJSpeech,LJ,,en,LJSpeech::lj033-0006
audio/human/CREMA-D/1066_ITS_SAD_XX.wav,0,CREMA-D,1066,,en,CREMA-D::actor::1066
audio/human/LJSpeech/LJ050-0261.wav,0,LJSpeech,LJ,,en,LJSpeech::lj050-0261
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/068 - Hip Hop Sora 2 A.I Compilation_254.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::068 - Hip Hop Sora 2 A.I Compilation
audio/human/CREMA-D/1017_ITS_HAP_XX.wav,0,CREMA-D,1017,,en,CREMA-D::actor::1017
audio/human/CREMA-D/1006_ITS_NEU_XX.wav,0,CREMA-D,1006,,en,CREMA-D::actor::1006
audio/human/CREMA-D/1060_DFA_ANG_XX.wav,0,CREMA-D,1060,,en,CREMA-D::actor::1060
audio/human/garystafford/yt_0003_part_012.flac,0,GaryStafford,,,en,GaryStafford::human::yt_0003
audio/human/LJSpeech/LJ024-0047.wav,0,LJSpeech,LJ,,en,LJSpeech::lj024-0047
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/264 - When Animated TV Channels Invade Theaters_000.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::264 - When Animated TV Channels Invade Theaters
audio/human/CREMA-D/1089_TSI_DIS_XX.wav,0,CREMA-D,1089,,en,CREMA-D::actor::1089
audio/human/LJSpeech/LJ032-0147.wav,0,LJSpeech,LJ,,en,LJSpeech::lj032-0147
audio/human/CREMA-D/1042_IWL_ANG_XX.wav,0,CREMA-D,1042,,en,CREMA-D::actor::1042
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/031 - Top 62 Sora 2 Clips That Will Blow Your Mind_017.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::031 - Top 62 Sora 2 Clips That Will Blow Your Mind
audio/ai/garystafford/sp_0001_part_014.flac,1,GaryStafford,,Speechify,en,GaryStafford::ai::Speechify::0001
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/034 - BEST SORA 2 CLIPS EPISODE 2 Ai Memes #soraai_067.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::034 - BEST SORA 2 CLIPS EPISODE 2 Ai Memes #soraai
audio/human/LJSpeech/LJ021-0074.wav,0,LJSpeech,LJ,,en,LJSpeech::lj021-0074
audio/human/CREMA-D/1054_IEO_FEA_LO.wav,0,CREMA-D,1054,,en,CREMA-D::actor::1054
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/033 - Bloopers by Sora 2_004.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::033 - Bloopers by Sora 2
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/135 - Unhinged Gumball AI Moments_071.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::135 - Unhinged Gumball AI Moments
audio/human/CREMA-D/1068_WSI_FEA_XX.wav,0,CREMA-D,1068,,en,CREMA-D::actor::1068
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/031 - Top 62 Sora 2 Clips That Will Blow Your Mind_011.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::031 - Top 62 Sora 2 Clips That Will Blow Your Mind
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/137 - Gumball out of context ( but it's A.I )_063.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::137 - Gumball out of context ( but it's A.I )
audio/human/LJSpeech/LJ034-0034.wav,0,LJSpeech,LJ,,en,LJSpeech::lj034-0034
audio/human/CREMA-D/1018_MTI_DIS_XX.wav,0,CREMA-D,1018,,en,CREMA-D::actor::1018
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/230 - The Ultimate Spongebob Sora 2 Compilation_194.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::230 - The Ultimate Spongebob Sora 2 Compilation
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_247.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::269 - UNHINGED CAILLOU Sora Compilation 2
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/269 - UNHINGED CAILLOU Sora Compilation 2_029.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::269 - UNHINGED CAILLOU Sora Compilation 2
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/033 - Bloopers by Sora 2_012.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::033 - Bloopers by Sora 2
audio/human/LJSpeech/LJ018-0327.wav,0,LJSpeech,LJ,,en,LJSpeech::lj018-0327
audio/human/LJSpeech/LJ028-0331.wav,0,LJSpeech,LJ,,en,LJSpeech::lj028-0331
audio/human/CREMA-D/1073_ITS_FEA_XX.wav,0,CREMA-D,1073,,en,CREMA-D::actor::1073
audio/human/LJSpeech/LJ014-0100.wav,0,LJSpeech,LJ,,en,LJSpeech::lj014-0100
audio/human/LJSpeech/LJ016-0030.wav,0,LJSpeech,LJ,,en,LJSpeech::lj016-0030
audio/human/LJSpeech/LJ016-0370.wav,0,LJSpeech,LJ,,en,LJSpeech::lj016-0370
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/188 - Lost episode by sora 2_043.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::188 - Lost episode by sora 2
audio/human/rekrap/Day in the Life of A Minecraft YouTuber_314.wav,0,unknown,,,unknown,unknown::human::day in the life of a minecraft youtuber_314
audio/human/CREMA-D/1052_IEO_ANG_LO.wav,0,CREMA-D,1052,,en,CREMA-D::actor::1052
audio/human/CREMA-D/1054_IEO_NEU_XX.wav,0,CREMA-D,1054,,en,CREMA-D::actor::1054
audio/ai/youtube_ai/ai_slop_i_glad_i_never_watched/204 - Ultimate THX & Movie Studio Intro Compilation_008.wav,1,YouTube-AI,,unknown,unknown,YouTube-AI::204 - Ultimate THX & Movie Studio Intro Compilation
audio/human/CREMA-D/1062_DFA_ANG_XX.wav,0,CREMA-D,1062,,en,CREMA-D::actor::1062
audio/human/CREMA-D/1025_IEO_ANG_MD.wav,0,CREMA-D,1025,,en,CREMA-D::actor::1025
audio/human/rekrap/Day in the Life of A Minecraft YouTuber_165.wav,0,unknown,,,unknown,unknown::human::day in the life of a minecraft youtuber_165
audio/human/CREMA-D/1057_IEO_DIS_HI.wav,0,CREMA-D,1057,,en,CREMA-D::actor::1057
audio/human/LJSpeech/LJ047-0053.wav,0,LJSpeech,LJ,,en,LJSpeech::lj047-0053
